match_id,character,opponent_character,result,kos,falls,sds,match_time,damage_given,damage_taken,gsp,match_time_seconds,damage_differential,damage_ratio,ko_differential,damage_per_minute,damage_taken_per_minute,gsp_change,match_intensity
1,mario,mii gunner,1,3,2,0,4:32,338,218,14244815,272,120,1.5504587155963303,1,74.55882352941177,48.088235294117645,0.0,0.01838235294117647
2,mario,steve,0,2,3,0,5:42,423,368,13804225,342,55,1.1494565217391304,-1,74.21052631578947,64.56140350877193,-440590.0,0.014619883040935672
3,mario,donkey kong,0,2,3,0,4:29,281,264,13232667,269,17,1.0643939393939394,-1,62.67657992565056,58.88475836431227,-571558.0,0.01858736059479554
4,mario,king k rool,0,2,3,0,4:38,345,233,12716780,278,112,1.48068669527897,-1,74.46043165467626,50.28776978417266,-515887.0,0.017985611510791366
5,mario,dark samus,1,3,1,0,4:47,418,240,13232667,287,178,1.7416666666666667,2,87.38675958188153,50.174216027874564,515887.0,0.013937282229965157
6,mario,villager,0,1,2,0,3:45,263,236,12758029,225,27,1.1144067796610169,-1,70.13333333333334,62.93333333333333,-474638.0,0.013333333333333334
7,mario,mii brawler,1,3,2,0,4:37,285,289,12758104,277,-4,0.986159169550173,1,61.73285198555957,62.59927797833936,75.0,0.018050541516245487
8,mario,mythra/pyra,1,3,2,0,4:45,411,188,12758104,285,223,2.1861702127659575,1,86.52631578947368,39.578947368421055,0.0,0.017543859649122806
9,mario,joker,1,3,2,0,4:44,395,201,13232746,284,194,1.9651741293532339,1,83.45070422535211,42.46478873239437,474642.0,0.017605633802816902
10,mario,mewtwo,0,2,3,0,5:30,352,399,12799099,330,-47,0.8822055137844611,-1,64.0,72.54545454545455,-433647.0,0.015151515151515152
11,mario,captain falcon,0,1,3,0,4:32,246,360,12334459,272,-114,0.6833333333333333,-2,54.26470588235294,79.41176470588235,-464640.0,0.014705882352941176
12,mario,sephiroth,1,3,2,0,5:04,309,354,12758104,304,-45,0.8728813559322034,1,60.98684210526316,69.86842105263158,423645.0,0.01644736842105263
13,mario,inkling,0,2,3,0,5:32,349,407,12334459,332,-58,0.8574938574938575,-1,63.07228915662651,73.55421686746988,-423645.0,0.015060240963855422
14,mario,megaman,0,2,3,0,6:34,436,528,11887450,394,-92,0.8257575757575758,-1,66.39593908629442,80.40609137055837,-447009.0,0.012690355329949238
15,mario,steve,1,3,2,0,4:40,290,293,12334459,280,-3,0.9897610921501706,1,62.14285714285714,62.785714285714285,447009.0,0.017857142857142856
16,mario,ken,1,3,2,0,5:21,315,404,12716855,321,-89,0.7797029702970297,1,58.8785046728972,75.51401869158879,382396.0,0.01557632398753894
17,mario,diddy kong,1,3,0,0,2:40,243,39,13117678,160,204,6.230769230769231,3,91.125,14.625,400823.0,0.01875
18,mario,captain falcon,0,2,3,0,6:09,368,512,12716855,369,-144,0.71875,-1,59.83739837398374,83.2520325203252,-400823.0,0.013550135501355014
19,mario,king dedede,1,3,1,0,4:06,344,176,13078783,246,168,1.9545454545454546,2,83.90243902439025,42.926829268292686,361928.0,0.016260162601626018
20,mario,inkling,1,3,1,0,4:30,385,215,13419054,270,170,1.7906976744186047,2,85.55555555555556,47.77777777777778,340271.0,0.014814814814814815
21,mario,ken,0,1,3,0,4:39,265,365,13078783,279,-100,0.726027397260274,-2,56.98924731182795,78.49462365591397,-340271.0,0.014336917562724014
22,mario,lucas,0,2,3,0,4:58,329,315,12716855,298,14,1.0444444444444445,-1,66.24161073825503,63.422818791946305,-361928.0,0.016778523489932886
23,mario,jigglypuff,1,3,2,0,3:37,193,180,13078783,217,13,1.0722222222222222,1,53.36405529953917,49.76958525345622,361928.0,0.02304147465437788
24,mario,mii brawler,1,3,0,0,3:28,314,130,13419054,208,184,2.4153846153846152,3,90.57692307692308,37.5,340271.0,0.014423076923076924
25,mario,pikachu,0,2,3,0,4:21,151,370,13079868,261,-219,0.4081081081081081,-1,34.71264367816092,85.05747126436782,-339186.0,0.019157088122605363
