character,opponent_character,matches,wins,win_rate,avg_damage_given,avg_damage_taken,damage_difference
banjo & kazooie,bayonetta,1,0,0.0,362.0,455.0,-93.0
banjo & kazooie,captain falcon,1,1,1.0,403.0,312.0,91.0
banjo & kazooie,cloud,1,0,0.0,313.0,417.0,-104.0
banjo & kazooie,dark pit,1,1,1.0,408.0,320.0,88.0
banjo & kazooie,dark samus,1,0,0.0,385.0,400.0,-15.0
banjo & kazooie,diddy kong,1,1,1.0,212.0,205.0,7.0
banjo & kazooie,dr mario,1,1,1.0,361.0,336.0,25.0
banjo & kazooie,fox,1,1,1.0,281.0,309.0,-28.0
banjo & kazooie,king dedede,1,1,1.0,431.0,358.0,73.0
banjo & kazooie,link,1,1,1.0,334.0,465.0,-131.0
banjo & kazooie,little mac,1,1,1.0,259.0,97.0,162.0
banjo & kazooie,luigi,1,1,1.0,275.0,288.0,-13.0
banjo & kazooie,mewtwo,1,0,0.0,305.0,295.0,10.0
banjo & kazooie,mii brawler,1,1,1.0,373.0,300.0,73.0
banjo & kazooie,mii gunner,1,1,1.0,394.0,394.0,0.0
banjo & kazooie,ness,1,1,1.0,287.0,236.0,51.0
banjo & kazooie,palutena,1,0,0.0,191.0,169.0,22.0
banjo & kazooie,pyra and mythra,1,1,1.0,408.0,365.0,43.0
banjo & kazooie,ridley,1,1,1.0,352.0,236.0,116.0
banjo & kazooie,sephiroth,1,0,0.0,127.0,254.0,-127.0
banjo & kazooie,wii fit trainer,2,0,0.0,192.5,369.0,-176.5
banjo & kazooie,yoshi,1,1,1.0,205.0,56.0,149.0
banjo & kazooie,zelda,1,0,0.0,267.0,372.0,-105.0
banjo & kazooie,zero suit samus,1,1,1.0,412.0,258.0,154.0
captain falcon,captain falcon,1,1,1.0,379.0,476.0,-97.0
captain falcon,cloud,2,1,0.5,212.5,282.5,-70.0
captain falcon,donkey kong,1,0,0.0,275.0,264.0,11.0
captain falcon,dr mario,1,0,0.0,239.0,438.0,-199.0
captain falcon,duck hunt,1,0,0.0,183.0,367.0,-184.0
captain falcon,ganondorf,1,0,0.0,241.0,379.0,-138.0
captain falcon,hero,1,0,0.0,355.0,471.0,-116.0
captain falcon,joker,2,1,0.5,296.5,308.5,-12.0
captain falcon,kazuya,1,1,1.0,445.0,478.0,-33.0
captain falcon,link,1,1,1.0,229.0,298.0,-69.0
captain falcon,little mac,1,0,0.0,217.0,382.0,-165.0
captain falcon,mario,1,1,1.0,191.0,313.0,-122.0
captain falcon,mr game and watch,1,1,1.0,364.0,278.0,86.0
captain falcon,ness,1,1,1.0,346.0,448.0,-102.0
captain falcon,pichu,1,1,1.0,182.0,342.0,-160.0
captain falcon,piranha plant,1,1,1.0,339.0,245.0,94.0
captain falcon,pit,1,0,0.0,381.0,346.0,35.0
captain falcon,richter,1,0,0.0,251.0,430.0,-179.0
captain falcon,ridley,1,1,1.0,119.0,315.0,-196.0
captain falcon,rob,1,1,1.0,170.0,149.0,21.0
